pack,audit_row_id,school,school_id,page_url,pdf_url,rejection_bucket,system_suggested_decision,owner_decision,owner_notes
Pack B - suggested needs_operator_review,9e251721aa515c6b,school_id 13,13,https://www.sanko.ac.jp/disclosure/sapporo-med/,https://www.sanko.ac.jp/disclosure/sapporo-med/care_01.pdf,classified_non_target,needs_operator_review,,
Pack B - suggested needs_operator_review,f36afe0d6149df33,school_id 16,16,https://www.sanko.ac.jp/disclosure/chiba-med/,https://www.sanko.ac.jp/disclosure/chiba-med/bd5084288531bf11ed0bde63319cabe61e4d609d.pdf,classified_non_target,needs_operator_review,,
Pack B - suggested needs_operator_review,e06645c66c9ec7fa,school_id 17,17,https://www.sanko.ac.jp/disclosure/tokyo-fukushi/,https://www.sanko.ac.jp/disclosure/tokyo-fukushi/childhood_studies_03.pdf,classified_non_target,needs_operator_review,,
Pack B - suggested needs_operator_review,b9cf312d643233eb,school_id 18,18,https://www.sanko.ac.jp/disclosure/tokyo-med/,https://www.sanko.ac.jp/disclosure/tokyo-med/8ce42f9cadd6b0cbc1c4155e0b9bf3b38678ddaf.pdf,classified_non_target,needs_operator_review,,
Pack B - suggested needs_operator_review,f6127fb4fac870ec,school_id 20,20,https://www.sanko.ac.jp/disclosure/yokohama-med/,https://www.sanko.ac.jp/disclosure/yokohama-med/drug_01.pdf,classified_non_target,needs_operator_review,,
Pack B - suggested needs_operator_review,4dc3324e137772b2,school_id 21,21,https://www.sanko.ac.jp/disclosure/nagoya-med/,https://www.sanko.ac.jp/disclosure/nagoya-med/care_01.pdf,classified_non_target,needs_operator_review,,
Pack B - suggested needs_operator_review,52ea4a2b283e7bef,school_id 27,27,https://www.sanko.ac.jp/tokyo-ai/information/,https://www.sanko.ac.jp/tokyo-ai/information/1ebc0c36a3362449ae3068e9e8eee80c468d479c.pdf,classified_non_target,needs_operator_review,,
Pack B - suggested needs_operator_review,86200c2ac49b387a,school_id 13,13,https://www.sanko.ac.jp/disclosure/sapporo-med/,https://www.sanko.ac.jp/disclosure/sapporo-med/healthinfo_01.pdf,pre_filtered_non_target_hint,needs_operator_review,,
Pack B - suggested needs_operator_review,92587dfd41a0493f,school_id 14,14,https://www.sanko.ac.jp/disclosure/sendai-med/,https://www.sanko.ac.jp/disclosure/sendai-med/docs/care_01.pdf,pre_filtered_non_target_hint,needs_operator_review,,
Pack B - suggested needs_operator_review,faeea51e26705740,school_id 16,16,https://www.sanko.ac.jp/disclosure/chiba-med/,https://www.sanko.ac.jp/disclosure/chiba-med/docs/13e9921e812dd992dda6fe58de136c3be802eaff.pdf,pre_filtered_non_target_hint,needs_operator_review,,
Pack B - suggested needs_operator_review,b7fab3b4be5d26ca,school_id 17,17,https://www.sanko.ac.jp/disclosure/tokyo-fukushi/,https://www.sanko.ac.jp/disclosure/tokyo-fukushi/docs/08d452f4472b178f0fddc91b9a41eb9fe7505429.pdf,pre_filtered_non_target_hint,needs_operator_review,,
Pack B - suggested needs_operator_review,48c7bea6d0b411c5,school_id 19,19,https://www.sanko.ac.jp/disclosure/tachikawa-child/,https://www.sanko.ac.jp/disclosure/tachikawa-child/docs/08d3435687b7165d8b22b0f0e677696975b8ac6e.pdf,pre_filtered_non_target_hint,needs_operator_review,,
Pack B - suggested needs_operator_review,d1dd4a4bfcb73eec,school_id 21,21,https://www.sanko.ac.jp/disclosure/nagoya-med/,https://www.sanko.ac.jp/disclosure/nagoya-med/docs/childcare_01.pdf,pre_filtered_non_target_hint,needs_operator_review,,
Pack B - suggested needs_operator_review,cff41b0714a9200e,school_id 4,4,https://www.mode.ac.jp/tokyo,https://www.mode.ac.jp/tokyo,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,bb4da083a3ef33f6,school_id 5,5,https://www.mode.ac.jp/osaka,https://www.mode.ac.jp/osaka,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,b44dd14a9cc4f4ea,school_id 6,6,https://www.mode.ac.jp/nagoya,https://www.mode.ac.jp/nagoya,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,5cd47a3627fcae17,school_id 7,7,https://www.hal.ac.jp/tokyo,https://www.hal.ac.jp/tokyo,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,3866fd28354a97e1,school_id 8,8,https://www.hal.ac.jp/osaka,https://www.hal.ac.jp/osaka,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,0d0bc1d1fdce2dd1,school_id 9,9,https://www.hal.ac.jp/nagoya,https://www.hal.ac.jp/nagoya,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,f5d47fcd2d8aca3e,school_id 10,10,https://www.iko.ac.jp/tokyo,https://www.iko.ac.jp/tokyo,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,ca15518d6c5a6647,school_id 11,11,https://www.iko.ac.jp/osaka,https://www.iko.ac.jp/osaka,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,54fd6f6418ad0d27,school_id 12,12,https://www.iko.ac.jp/nagoya,https://www.iko.ac.jp/nagoya,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,bf12a235cd7aa235,school_id 20,20,https://www.sanko.ac.jp/disclosure/yokohama-med/,https://www.sanko.ac.jp/disclosure/yokohama-med/yoshiki2026.pdf,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,efbe9d08dc2cfba2,school_id 25,25,https://www.sanko.ac.jp/disclosure/fukuoka-med/,https://www.sanko.ac.jp/disclosure/fukuoka-med/docs/99158211b0011c77cfb13002f8106b4eb79443a6.pdf,site_entry_fetch_identity,needs_operator_review,,
Pack B - suggested needs_operator_review,3df9d0a93752f3c8,school_id 1,1,https://www.neec.ac.jp/portal/public/mext-scholarship/,https://www.neec.ac.jp/assets/contents/documents/portal/syllabus/hachioji/portal_syllabus_hachioji_yoshiki.pdf,target_fiscal_year_not_detected,needs_operator_review,,
Pack B - suggested needs_operator_review,a3873ee6a0eb300e,school_id 1,1,https://www.neec.ac.jp/portal/public/mext-scholarship/,https://www.neec.ac.jp/assets/contents/documents/portal/syllabus/kamata/portal_syllabus_kamata_yoshiki.pdf,target_fiscal_year_not_detected,needs_operator_review,,
Pack B - suggested needs_operator_review,780758ff3aec558a,school_id 2,2,https://www.neec.ac.jp/portal/public/mext-scholarship/,https://www.neec.ac.jp/assets/contents/documents/portal/syllabus/hachioji/portal_syllabus_hachioji_yoshiki.pdf,target_fiscal_year_not_detected,needs_operator_review,,
Pack B - suggested needs_operator_review,ad9beff98fd03c72,school_id 2,2,https://www.neec.ac.jp/portal/public/mext-scholarship/,https://www.neec.ac.jp/assets/contents/documents/portal/syllabus/kamata/portal_syllabus_kamata_yoshiki.pdf,target_fiscal_year_not_detected,needs_operator_review,,
